"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"55405","생활서비스시설_공원_0465","ZON216","생활서비스시설_공원"," "," ","어린이공원(새소리)"," ","",""
"55406","생활서비스시설_공원_0466","ZON216","생활서비스시설_공원"," "," ","기타공원(정릉2동고가아래쉼터)"," ","",""
"55407","생활서비스시설_공원_0469","ZON216","생활서비스시설_공원"," "," ","기타공원(동선2동가로쉼터)"," ","",""
"55408","생활서비스시설_공원_0471","ZON216","생활서비스시설_공원"," "," ","기타공원(아리랑쉼터)"," ","",""
"55409","생활서비스시설_공원_0472","ZON216","생활서비스시설_공원"," "," ","기타공원(장위3동파출소옆쉼터)"," ","",""
"55410","생활서비스시설_공원_0473","ZON216","생활서비스시설_공원"," "," ","기타공원(안암동쉼터)"," ","",""
"55411","생활서비스시설_공원_0474","ZON216","생활서비스시설_공원"," "," ","마을마당(정릉4동)"," ","",""
"55412","생활서비스시설_공원_0475","ZON216","생활서비스시설_공원"," "," ","기타공원(상월곡동가로쉼터)"," ","",""
"55413","생활서비스시설_공원_0476","ZON216","생활서비스시설_공원"," "," ","기타공원(석관2동돌곳이쉼터)"," ","",""
"55414","생활서비스시설_공원_0477","ZON216","생활서비스시설_공원"," "," ","어린이공원(향기)"," ","",""
"55415","생활서비스시설_공원_0479","ZON216","생활서비스시설_공원"," "," ","기타공원(삼선2동쉼터)"," ","",""
"55416","생활서비스시설_공원_0480","ZON216","생활서비스시설_공원"," "," ","기타공원(정릉3동쉼터)"," ","",""
"55417","생활서비스시설_공원_0483","ZON216","생활서비스시설_공원"," "," ","강변공원(중랑천)"," ","",""
"55418","생활서비스시설_공원_0485","ZON216","생활서비스시설_공원"," "," ","어린이공원(하늘)"," ","",""
"55419","생활서비스시설_공원_0487","ZON216","생활서비스시설_공원"," "," ","어린이공원(운산)"," ","",""
"55420","생활서비스시설_공원_0488","ZON216","생활서비스시설_공원"," "," ","마을마당(불당골)"," ","",""
"55421","생활서비스시설_공원_0489","ZON216","생활서비스시설_공원"," "," ","어린이공원(흰구름)"," ","",""
"55422","생활서비스시설_공원_0491","ZON216","생활서비스시설_공원"," "," ","어린이공원(벽오산)"," ","",""
"55423","생활서비스시설_공원_0492","ZON216","생활서비스시설_공원"," "," ","마을마당(우이동길)"," ","",""
"55424","생활서비스시설_공원_0494","ZON216","생활서비스시설_공원"," "," ","어린이공원(송월)"," ","",""
"55425","생활서비스시설_공원_0495","ZON216","생활서비스시설_공원"," "," ","마을마당(꿈동산)"," ","",""
"55426","생활서비스시설_공원_0497","ZON216","생활서비스시설_공원"," "," ","어린이공원(벌리)"," ","",""
"55427","생활서비스시설_공원_0499","ZON216","생활서비스시설_공원"," "," ","어린이공원(오현)"," ","",""
"55428","생활서비스시설_공원_0401","ZON216","생활서비스시설_공원"," "," ","어린이공원(안골)"," ","",""
"55429","생활서비스시설_공원_0404","ZON216","생활서비스시설_공원"," "," ","어린이공원(배밭골)"," ","",""
"55430","생활서비스시설_공원_0408","ZON216","생활서비스시설_공원"," "," ","기타공원(장위2동녹지쉼터)"," ","",""
"55431","생활서비스시설_공원_0411","ZON216","생활서비스시설_공원"," "," ","기타공원(성북동쉼터)"," ","",""
"55432","생활서비스시설_공원_0414","ZON216","생활서비스시설_공원"," "," ","어린이공원(길음뉴타운제4호)"," ","",""
"55394","생활서비스시설_공원_0449","ZON216","생활서비스시설_공원"," "," ","기타공원(길음1동쉼터)"," ","",""
"54446","생활서비스시설_공원_0880","ZON216","생활서비스시설_공원"," "," ","마을마당(성산동)"," ","",""
"54447","생활서비스시설_공원_0881","ZON216","생활서비스시설_공원"," "," ","마을마당(서교)"," ","",""
"54448","생활서비스시설_공원_0882","ZON216","생활서비스시설_공원"," "," ","어린이공원(한마음)"," ","",""
"54449","생활서비스시설_공원_0885","ZON216","생활서비스시설_공원"," "," ","어린이공원(마포)"," ","",""
"54450","생활서비스시설_공원_0886","ZON216","생활서비스시설_공원"," "," ","어린이공원(뒤뜰)"," ","",""
"54451","생활서비스시설_공원_0887","ZON216","생활서비스시설_공원"," "," ","어린이공원(보람)"," ","",""
"54452","생활서비스시설_공원_0888","ZON216","생활서비스시설_공원"," "," ","마을마당(두산)"," ","",""
"54453","생활서비스시설_공원_0889","ZON216","생활서비스시설_공원"," "," ","어린이공원(노고산)"," ","",""
"54454","생활서비스시설_공원_0890","ZON216","생활서비스시설_공원"," "," ","어린이공원(옹달샘)"," ","",""
"54455","생활서비스시설_공원_0891","ZON216","생활서비스시설_공원"," "," ","어린이공원(강변)"," ","",""
"54456","생활서비스시설_공원_0892","ZON216","생활서비스시설_공원"," "," ","어린이공원(은행나무)"," ","",""
"54457","생활서비스시설_공원_1040","ZON216","생활서비스시설_공원"," "," ","기타공원(산새)"," ","",""
"54458","생활서비스시설_공원_1042","ZON216","생활서비스시설_공원"," "," ","어린이공원(봉선화)"," ","",""
"54459","생활서비스시설_공원_1044","ZON216","생활서비스시설_공원"," "," ","어린이공원(필마)"," ","",""
"54460","생활서비스시설_공원_1045","ZON216","생활서비스시설_공원"," "," ","어린이공원(소나무)"," ","",""
"54461","생활서비스시설_공원_1047","ZON216","생활서비스시설_공원"," "," ","기타공원(화곡동 정자마당)"," ","",""
"54462","생활서비스시설_공원_1048","ZON216","생활서비스시설_공원"," "," ","기타공원(가양동 정자마당)"," ","",""
"54463","생활서비스시설_공원_1049","ZON216","생활서비스시설_공원"," "," ","기타공원(구름)"," ","",""
"54464","생활서비스시설_공원_1051","ZON216","생활서비스시설_공원"," "," ","기타공원(큰별)"," ","",""
"54465","생활서비스시설_공원_1052","ZON216","생활서비스시설_공원"," "," ","기타공원(까치)"," ","",""
"54466","생활서비스시설_공원_1053","ZON216","생활서비스시설_공원"," "," ","어린이공원(꿈나무)"," ","",""
"54467","생활서비스시설_공원_1055","ZON216","생활서비스시설_공원"," "," ","어린이공원(채송화)"," ","",""
"54468","생활서비스시설_공원_1056","ZON216","생활서비스시설_공원"," "," ","어린이공원(달빛)"," ","",""
"54469","생활서비스시설_공원_1058","ZON216","생활서비스시설_공원"," "," ","근린공원(옹기골)"," ","",""
"54470","생활서비스시설_공원_1060","ZON216","생활서비스시설_공원"," "," ","근린공원(등촌)"," ","",""
"54471","생활서비스시설_공원_1061","ZON216","생활서비스시설_공원"," "," ","어린이공원(도레미)"," ","",""
"54472","생활서비스시설_공원_1063","ZON216","생활서비스시설_공원"," "," ","어린이공원(느티)"," ","",""
"54473","생활서비스시설_공원_1064","ZON216","생활서비스시설_공원"," "," ","어린이공원(백합)"," ","",""
"54474","생활서비스시설_공원_1066","ZON216","생활서비스시설_공원"," "," ","어린이공원(화곡1주구2)"," ","",""
"54475","생활서비스시설_공원_1067","ZON216","생활서비스시설_공원"," "," ","어린이공원(한마음)"," ","",""
"54476","생활서비스시설_공원_1068","ZON216","생활서비스시설_공원"," "," ","어린이공원(등서)"," ","",""
"54477","생활서비스시설_공원_1069","ZON216","생활서비스시설_공원"," "," ","어린이공원(곰돌이)"," ","",""
"54478","생활서비스시설_공원_1071","ZON216","생활서비스시설_공원"," "," ","어린이공원(비둘기)"," ","",""
"54479","생활서비스시설_공원_1072","ZON216","생활서비스시설_공원"," "," ","어린이공원(수명)"," ","",""
"54480","생활서비스시설_공원_1074","ZON216","생활서비스시설_공원"," "," ","어린이공원(골말)"," ","",""
"54481","생활서비스시설_공원_1075","ZON216","생활서비스시설_공원"," "," ","어린이공원(나들이)"," ","",""
"54482","생활서비스시설_공원_0859","ZON216","생활서비스시설_공원"," "," ","마을마당(홍연)"," ","",""
"54483","생활서비스시설_공원_1076","ZON216","생활서비스시설_공원"," "," ","기타공원(발산동휴식공간)"," ","",""
"54484","생활서비스시설_공원_1079","ZON216","생활서비스시설_공원"," "," ","어린이공원(무지개)"," ","",""
"54485","생활서비스시설_공원_1080","ZON216","생활서비스시설_공원"," "," ","어린이공원(연지)"," ","",""
"54486","생활서비스시설_공원_1081","ZON216","생활서비스시설_공원"," "," ","어린이공원(범바위)"," ","",""
"54487","생활서비스시설_공원_1083","ZON216","생활서비스시설_공원"," "," ","어린이공원(활주로)"," ","",""
"54488","생활서비스시설_공원_1084","ZON216","생활서비스시설_공원"," "," ","기타공원(발산역주변녹지)"," ","",""
"54489","생활서비스시설_공원_1085","ZON216","생활서비스시설_공원"," "," ","어린이공원(효심)"," ","",""
"54490","생활서비스시설_공원_1087","ZON216","생활서비스시설_공원"," "," ","어린이공원(장미)"," ","",""
"54901","생활서비스시설_공원_0900","ZON216","생활서비스시설_공원"," "," ","어린이공원(와우)"," ","",""
"54902","생활서비스시설_공원_0803","ZON216","생활서비스시설_공원"," "," ","어린이공원(북가좌정원지구)"," ","",""
"54903","생활서비스시설_공원_0808","ZON216","생활서비스시설_공원"," "," ","어린이공원(신가)"," ","",""
"54904","생활서비스시설_공원_0811","ZON216","생활서비스시설_공원"," "," ","근린공원(창천)"," ","",""
"54905","생활서비스시설_공원_0814","ZON216","생활서비스시설_공원"," "," ","마을마당(창천동골목공원)"," ","",""
"54906","생활서비스시설_공원_0820","ZON216","생활서비스시설_공원"," "," ","어린이공원(연가)"," ","",""
"54907","생활서비스시설_공원_0824","ZON216","생활서비스시설_공원"," "," ","마을마당(답동)"," ","",""
"54908","생활서비스시설_공원_0828","ZON216","생활서비스시설_공원"," "," ","어린이공원(궁뜰)"," ","",""
"54909","생활서비스시설_공원_0831","ZON216","생활서비스시설_공원"," "," ","마을마당(연희지하차도상단휴식공간)"," ","",""
"54910","생활서비스시설_공원_0834","ZON216","생활서비스시설_공원"," "," ","어린이공원(가재울)"," ","",""
