"중구","80~84세",3331,1338,1993,67.1,3299,1324,1975,67.0
"중구","85~89세",1577,486,1091,44.5,1552,480,1072,44.8
"중구","90~94세",577,157,420,37.4,574,157,417,37.6
"중구","95~99세",117,27,90,30.0,116,27,89,30.3
"중구","100세이상",21,7,14,50.0,20,7,13,53.8
"중구","15세미만",8986,4565,4421,103.3,8365,4261,4104,103.8
"중구","15~64세",92579,44844,47735,93.9,81998,40040,41958,95.4
"중구","65세이상",23692,10386,13306,78.1,22946,10085,12861,78.4
"중구","85세이상",2292,677,1615,41.9,2262,671,1591,42.2
"중구","평균연령",45.0,44.5,45.4,-,45.8,45.2,46.4,-
"중구","중위연령",44.1,43.8,44.5,-,45.7,45.1,46.4,-
"용산구","합계",219289,105474,113815,92.7,203463,97157,106306,91.4
"용산구","0~4세",6197,3200,2997,106.8,5395,2780,2615,106.3
"용산구","5~9세",7101,3574,3527,101.3,5896,2980,2916,102.2
"용산구","10~14세",6509,3294,3215,102.5,5945,3032,2913,104.1
"용산구","15~19세",6946,3467,3479,99.7,6527,3244,3283,98.8
"용산구","20~24세",12710,5443,7267,74.9,11567,4955,6612,74.9
"용산구","25~29세",19949,9355,10594,88.3,18177,8441,9736,86.7
"용산구","30~34세",21229,10631,10598,100.3,19203,9530,9673,98.5
"용산구","35~39세",18218,9223,8995,102.5,16359,8156,8203,99.4
"용산구","40~44세",17176,8744,8432,103.7,15598,7849,7749,101.3
"용산구","45~49세",15589,7700,7889,97.6,14432,7020,7412,94.7
"용산구","50~54세",18744,9185,9559,96.1,17591,8517,9074,93.9
"용산구","55~59세",16074,7867,8207,95.9,15209,7430,7779,95.5
"용산구","60~64세",15976,7765,8211,94.6,15412,7504,7908,94.9
"용산구","65~69세",12513,5979,6534,91.5,12160,5837,6323,92.3
"용산구","70~74세",8492,3858,4634,83.3,8307,3766,4541,82.9
"용산구","75~79세",6582,2728,3854,70.8,6506,2694,3812,70.7
"용산구","80~84세",5409,2158,3251,66.4,5352,2134,3218,66.3
"용산구","85~89세",2731,962,1769,54.4,2704,952,1752,54.3
"용산구","90~94세",932,289,643,44.9,918,287,631,45.5
"용산구","95~99세",184,48,136,35.3,178,45,133,33.8
"용산구","100세이상",28,X,24,16.7,27,X,23,17.4
"용산구","15세미만",19807,10068,9739,103.4,17236,8792,8444,104.1
"용산구","15~64세",162611,79380,83231,95.4,150075,72646,77429,93.8
"용산구","65세이상",36871,16026,20845,76.9,36152,15719,20433,76.9
"용산구","85세이상",3875,1303,2572,50.7,3827,1288,2539,50.7
"용산구","평균연령",43.8,43.2,44.5,-,44.5,43.8,45.2,-
"용산구","중위연령",43.0,42.4,43.5,-,43.9,43.3,44.6,-
"성동구","합계",282131,136734,145397,94.0,271540,132102,139438,94.7
"성동구","0~4세",8715,4517,4198,107.6,8569,4450,4119,108.0
"성동구","5~9세",9266,4696,4570,102.8,9060,4595,4465,102.9
"성동구","10~14세",8165,4111,4054,101.4,8053,4061,3992,101.7
"성동구","15~19세",9921,4798,5123,93.7,9545,4644,4901,94.8
"성동구","20~24세",20618,9677,10941,88.4,18464,8923,9541,93.5
"성동구","25~29세",25542,12774,12768,100.0,24000,12167,11833,102.8
"성동구","30~34세",23335,11315,12020,94.1,22249,10776,11473,93.9
